Study,Review,Country,Age,Age group,Vax type,N,Estimate,Vaccine name,If titers: rSBA or hSBA,0,0.5,1,3,5,6,11,12,18,20,22,23,24,28,30,36,48,90,Overall,Wan,Dur,VE,MenB strain,Format,Extra info
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1,6 m)",3,Titers,4CMenB/Bexsero,hSBA,"28 (17, 42)",,"100 (93, 100)",,,,,,"98 (90, 100)",,,,,,,,,,,"0.013381415425078239 (0.013366018296292864, 0.013396812553863614)","74.73051005694737 (74.64462132162937, 74.81659667317344)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1,6 m)",3,Titers,4CMenB/Bexsero,hSBA,"32 (20, 46)",,"100 (93, 100)",,,,,,"98 (90, 100)",,,,,,,,,,,"0.013381415425078239 (0.013366018296292864, 0.013396812553863614)","74.73051005694737 (74.64462132162937, 74.81659667317344)",,NZ98/254 for PorA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,2,6 m)",3,Titers,4CMenB/Bexsero,hSBA,"32 (20, 45)",,"100 (94, 100)",,,,,,"86 (74, 94)",,,,,,,,,,,"0.09611417838022424 (0.09338309282630322, 0.09884526393414525)","10.404292237135254 (10.116822599272341, 10.708576571350504)",,44/76-SL for fHbp,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,2,6 m)",3,Titers,4CMenB/Bexsero,hSBA,"21 (11, 34)",,"100 (94, 100)",,,,,,"100 (94, 100)",,,,,,,,,,,,,,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,2,6 m)",3,Titers,4CMenB/Bexsero,hSBA,"21 (11, 34)",,"98 (91, 100)",,,,,,"96 (88, 100)",,,,,,,,,,,"0.028428181333165714 (0.02475754448779926, 0.03209881817853217)","35.17636208522952 (31.153794960239516, 40.39172788290087)",,NZ98/254 for PorA,Yes,
2013Snape,,UK,1 y,Infants,"Primary (6,8,12 m)",3,Titers,4CMenB/Bexsero,hSBA,"29 (13, 51)",,"100 (86, 100)",,,,,,,,,,,"36 (13, 65)",,,,,,"0.38232079363753835 (0.13529467989842076, 0.629346907376656)","2.615604530649872 (1.5889487789307797, 7.39127363138595)",,44/76-SL for fHbp,Yes,Pre-vax and 1 m data is from 2010Snape
2013Snape,,UK,1 y,Infants,"Primary (6,8,12 m)",3,Titers,4CMenB/Bexsero,hSBA,"0 (0, 14)",,"100 (86, 100)",,,,,,,,,,,"100 (77, 100)",,,,,,,,,5/99 for NadA,Yes,Pre-vax and 1 m data is from 2010Snape
2013Snape,,UK,1 y,Infants,"Primary (6,8,12 m)",3,Titers,4CMenB/Bexsero,hSBA,"0 (0, 14)",,"96 (79, 100)",,,,,,,,,,,"14 (2, 43)",,,,,,"0.7799408857501743 (0.5259698982594111, 1.0339118732409376)","1.282148452876868 (0.9672004218941445, 1.9012494884389655)",,NZ98/254 for PorA,Yes,Pre-vax and 1 m data is from 2010Snape
2013Snape,,UK,1 y,Infants,"Primary (6,8,12 m)",3,Titers,4CMenB/Bexsero,hSBA,,,,,,,,,,,,,,"79 (49, 95)",,,,,,,,,M10713 for NHBA,Yes,Pre-vax and 1 m data is from 2010Snape
2014McQuaid,,UK,3.5 y,Infants,"Primary (6,8,12 m), booster (3.5 y)",3+1,Titers,4CMenB/Bexsero,hSBA,"36 (13, 65)","100 (77, 100)",,,,,,,,"67 (35, 90)",,,,,,,,,,,,,44/76-SL for fHbp,Yes,Evaluation at 2 weeks is actually immediately after the booster dose. Pre-vax data is from 2013Snape
2014McQuaid,,UK,3.5 y,Infants,"Primary (6,8,12 m), booster (3.5 y)",3+1,Titers,4CMenB/Bexsero,hSBA,"100 (77, 100)","100 (77, 100)",,,,,,,,"100 (72, 100)",,,,,,,,,,,,,5/99 for NadA,Yes,Evaluation at 2 weeks is actually immediately after the booster dose. Pre-vax data is from 2013Snape
2014McQuaid,,UK,3.5 y,Infants,"Primary (6,8,12 m), booster (3.5 y)",3+1,Titers,4CMenB/Bexsero,hSBA,"14 (2, 43)","93 (66, 100)",,,,,,,,"17 (2, 48)",,,,,,,,,,,,,NZ98/254 for PorA,Yes,Evaluation at 2 weeks is actually immediately after the booster dose. Pre-vax data is from 2013Snape
2014McQuaid,,UK,3.5 y,Infants,"Primary (6,8,12 m), booster (3.5 y)",3+1,Titers,4CMenB/Bexsero,hSBA,"79 (49, 95)","93 (66, 100)",,,,,,,,"45 (17, 77)",,,,,,,,,,,,,M10713 for NHBA,Yes,Evaluation at 2 weeks is actually immediately after the booster dose. Pre-vax data is from 2013Snape
2014McQuaid,,UK,3.5 y,Infants,"Catch-up (40,42 m)",2,Titers,4CMenB/Bexsero,hSBA,"3 (0, 13)","100 (88, 100)",,,,,,,,"38 (19, 59)",,,,,,,,,,,,,44/76-SL for fHbp,Yes,
